ID;Bird;Cage;Date of Transfer;Who
545;y4o-wang;MK;07.09.2006;Claude
546;y4o-wang;IS3;10.09.2006;Claude
547;p18k-s6;IS3;08.09.2006;Claude
548;p18k-s6;MK;10.09.2006;Claude
549;p1o-b3k;U1;12.09.2006;Claude
550;s7o-p11k;M7;15.09.2006;Katja
551;s9o-p11k;M7;15.09.2006;Katja
552;y14o-p11k;M7;15.09.2006;Katja
553;k8k-b3k;IS5;15.09.2006;Katja
554;g2o-r16;IS2;15.09.2006;Katja
555;s8o-p11k;M7;16.09.2006;Claude
556;p11k-ch900;M7;16.09.2006;Claude
557;g16k;M7;16.09.2006;Claude
558;orange3;M5;16.09.2006;Claude
559;red5;M5;16.09.2006;Claude
560;k8k-b3k;E3;18.09.2006;Aymeric
561;s9o-p11k;IS2;19.09.2006;Georg
562;s2o-r16;E1;19.09.2006;Georg
563;p18k-s6;E2;21.09.2006;Claude
564;s7o-p11k;IS3;21.09.2006;Claude
567;g10o-g14k;M6;22.09.2006;Florian
570;g11o-g14k;M6;22.09.2006;Florian
571;g12o-g14k;M6;22.09.2006;Florian
573;g14o-g14k;M6;22.09.2006;Florian
574;g13o-g14k;M6;22.09.2006;Florian
575;g14k;M6;22.09.2006;Florian
576;orange16;M6;22.09.2006;Florian
578;p14k-p2;M1;22.09.2006;Florian
579;k10k-p11k;U1;22.09.2006;Florian
580;b5o-g14k;IS7;25.09.2006;Katja
581;k8k-b3k;MK;18.09.2006;Katja
582;g15o-r14;O3;27.09.2006;Katja
583;g16o-r14;O3;27.09.2006;Katja
584;g17o-r14;O3;27.09.2006;Katja
585;g18o-r14;O3;27.09.2006;Katja
586;o13o-y8;U4;27.09.2006;Katja
587;o14o-y8;U4;27.09.2006;Katja
588;o15o-y8;U4;27.09.2006;Katja
589;o16o-y8;U4;27.09.2006;Katja
590;o17o-y8;U4;27.09.2006;Katja
591;g19o-silver2;M4;27.09.2006;
592;o20k-sg8;MK;27.09.2006;Claude
593;y14o-p11k;IS5;24.09.2006;Katja
594;y14o-p11k;E2;29.09.2006;Katja
595;b5o-g14k;TRC;28.09.2006;Katja
597;g5o-p20;MK;29.09.2006;Katja
599;y9o-o4k;MK;29.09.2006;Claude
601;p8o-g14k;IS8;02.10.2006;Claude
602;g17o-r14;IS1;29.09.2006;Katja
603;g15o-r14;IS2;03.10.2006;Katja
608;g17o-r14;E2;03.10.2006;Katja
609;k8k-b3k;IS7;03.10.2006;Katja
610;k8k-b3k;TRC;04.10.2006;Katja
611;g3o-r11;MK;05.10.2006;Katja
612;s10o-sb;O2;06.10.2006;Florian
614;s13o-sb;O2;06.10.2006;Florian
615;s11o-sb;O2;06.10.2006;Florian
616;s12o-sb;O2;06.10.2006;Florian
617;s14o-sb;O2;06.10.2006;Florian
618;r10o-o4k;O4;06.10.2006;Florian
619;r11o-o4k;O4;06.10.2006;Florian
620;r12o-o4k;O4;06.10.2006;Florian
621;r13o-o4k;O4;06.10.2006;Florian
622;r14o-o4k;O4;06.10.2006;Florian
623;r15o-r11c;U3;06.10.2006;Florian
624;r16o-r11;U3;06.10.2006;Florian
625;r17o-r11;U3;06.10.2006;Florian
626;r18o-r11;U3;06.10.2006;Florian
627;r19o-r11;U3;06.10.2006;Florian
628;silverblack;O2;06.10.2006;Florian
629;purple17;O2;06.10.2006;Florian
630;g5o-p20;IS6;09.10.2006;Katja
631;g15o-r14;E2;06.10.2006;Katja
632;g14o-g14k;M1;09.10.2006;Katja
633;g10o-g14k;M1;09.10.2006;Katja
634;b15k-p11k;U1;06.10.2006;Georg
635;b15o-sb;U1;06.10.2006;Georg
637;b16o-sb;U1;06.10.2006;Georg
638;b17k-sb;U1;06.10.2006;Georg
639;b19o-sb;U1;06.10.2006;Georg
640;b1o-b3k;U1;06.10.2006;Georg
641;b2o-b3k;U1;06.10.2006;Georg
642;b3o-b3k;U1;06.10.2006;Georg
643;g13o-g14k;U1;06.10.2006;Georg
644;g16o-r14;U1;06.10.2006;Georg
645;g18o-r14;U1;06.10.2006;Georg
646;g4o-r11;U1;06.10.2006;Georg
647;o12k-p20;U1;06.10.2006;Georg
648;o13k-sb;U1;06.10.2006;Georg
649;o14o-y8;U1;06.10.2006;Georg
650;o15o-y8;U1;06.10.2006;Georg
