ID;Male;Female;Cage;Coupling Date;Separation Date;Success;Comment
178;p11-r3;r3y5;M4;08.04.2008;11.08.2008;No Success;BF - don't separate for at least 120 days!
180;r3y8;g-v12;M1B;08.04.2008;14.08.2008;No Success;didn't work out for 4 months!
181;p9green;R-G-K209-91;U5;08.04.2008;03.10.2008;No Success;
182;b14r3;r1y17;U2;25.04.2008;28.11.2008;3 Gen.;
183;b11r3;k5r2;O3;25.04.2008;14.08.2008;1 Gen.;
184;r3y6;r3y1;U2B;03.06.2008;03.10.2008;No Success;
185;g12r2;p10r2;U6B;07.03.2008;29.08.2008;3 Gen.;
186;b7r3;p20r3;O4;13.06.2008;28.11.2008;2 Gen.;
187;g6r1;p9r2;M7;13.06.2008;19.12.2008;3 Gen.;
188;g8r1;k10r2;U6;13.06.2008;12.12.2008;2 Gen.;
189;r12p-y7o;green16;M3B;19.07.2008;22.01.2009;1 Gen.;
192;k8r2;k9k-ch900;M5B;19.07.2008;28.11.2008;No Success;
193;p11k-ch900;s11o-sb;U7;01.08.2008;12.12.2008;;nesting
195;g7r1;r11o-o4k;M5;01.08.2008;14.11.2008;No Success;separate if no success
196;g13p-purple20;p14b-r16;O1;01.08.2008;23.02.2009;3 Gen.;
197;k9r2;purple8;M4B;11.08.2008;24.11.2008;1 Gen.;separation because female died
198;y7o-r16;b20o-ch900;M3;14.08.2008;30.01.2009;2 Gen.;
199;k13r2;red5;M4;14.08.2008;22.01.2009;2 Gen.;
200;b11r3;o8r3;U4;21.08.2008;06.12.2008;1 Gen.;
